title,author,cover,link
京东阅读本,,https://static13.libsp.cn/static/img/index1.2d5bd70.jpg,
京东阅读本,,https://static13.libsp.cn/static/img/index1.2d5bd70.jpg,
京东阅读本,,https://static13.libsp.cn/static/img/index1.2d5bd70.jpg,
京东阅读本,,,
劳动与社会保障法学,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64F9AB67F6EC1ECB41CCD4B1C982FA3093E7C09021833EDAD24815BA380F996608544F519D19C8A96676BA13474F2DB12ED17BD6A763B3F1A67826899111C33334CA6F31215988418FCB950E635F2792FA386C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64F9AB67F6EC1ECB41CCD4B1C982FA3093E7C09021833EDAD24815BA380F996608544F519D19C8A96676BA13474F2DB12ED17BD6A763B3F1A67826899111C33334CA6F31215988418FCB950E635F2792FA386C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
劳动与社会保障法学,,,
刑事诉讼法学,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64F62EB30995A1FC3DA765215731D0F29026F98B7F609D884C0D848E9B14DCA60C544F519D19C8A96676BA13474F2DB12ED17BD6A763B3F1A67826899111C33334CA6F31215988418FCB950E635F2792FA386C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64F62EB30995A1FC3DA765215731D0F29026F98B7F609D884C0D848E9B14DCA60C544F519D19C8A96676BA13474F2DB12ED17BD6A763B3F1A67826899111C33334CA6F31215988418FCB950E635F2792FA386C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
刑事诉讼法学,,,
国际经济法学,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64FC32A8A7CA882A6A47EF4B959B924AFEF83000F9AB7DF75FA28D1ACAF49DC913444F519D19C8A96676BA13474F2DB12ED8DC72E9B8BA56A996303C4B2660B83ED03F15C3C539C3817AC4575FDC3328DF286C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64FC32A8A7CA882A6A47EF4B959B924AFEF83000F9AB7DF75FA28D1ACAF49DC913444F519D19C8A96676BA13474F2DB12ED8DC72E9B8BA56A996303C4B2660B83ED03F15C3C539C3817AC4575FDC3328DF286C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
国际经济法学,,,
商法学,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64F3B0F684622F0F13F9143DA7920680920A17F6904E210F6F96134E2380A486BA544F519D19C8A96676BA13474F2DB12ED17BD6A763B3F1A67826899111C33334CA6F31215988418FCB950E635F2792FA386C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64F3B0F684622F0F13F9143DA7920680920A17F6904E210F6F96134E2380A486BA544F519D19C8A96676BA13474F2DB12ED17BD6A763B3F1A67826899111C33334CA6F31215988418FCB950E635F2792FA386C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
商法学,,,
如何讲好你的PPT,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64FCAA397C10977C0A56FFD972719AA52C994814D2980E79AB943308D599152FCC244F519D19C8A96676BA13474F2DB12EDC989B31FE451EE83555B9834913A78068590B95AA20306E0494385B143F44D7486C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
如何讲好你的PPT,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64FCAA397C10977C0A56FFD972719AA52C994814D2980E79AB943308D599152FCC244F519D19C8A96676BA13474F2DB12EDC989B31FE451EE83555B9834913A78068590B95AA20306E0494385B143F44D7486C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64FCAA397C10977C0A56FFD972719AA52C994814D2980E79AB943308D599152FCC244F519D19C8A96676BA13474F2DB12EDC989B31FE451EE83555B9834913A78068590B95AA20306E0494385B143F44D7486C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
如何讲好你的PPT,,,
新时代国际传播的边界重塑与实践拓展,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64FCAA397C10977C0A56FFD972719AA52C9C5DF4EC25585756C99B9771173F97D4444F519D19C8A96676BA13474F2DB12EDC989B31FE451EE83555B9834913A78068590B95AA20306E0494385B143F44D7486C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64FCAA397C10977C0A56FFD972719AA52C9C5DF4EC25585756C99B9771173F97D4444F519D19C8A96676BA13474F2DB12EDC989B31FE451EE83555B9834913A78068590B95AA20306E0494385B143F44D7486C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
新时代国际传播的边界重塑与实践拓展,,,
数智时代个人信息管理行为研究,,https://cover01.chaoxing.com/cover/permc/s/692863D2D329A37315AE6BA1F680D07A55B781D6141E5936CFB70D92F7BFEB3B88237B66D803C8BDB2ECF4AD5B8BB7900319A089F3D1A73F24536B409AEE3C80ED4DCCC9BB2AE05148164F4397F109616C5A38C7D49E98B073A445B7AFD77616.jpg?appKey=ongslagianqlfog,
,,https://cover01.chaoxing.com/cover/permc/s/692863D2D329A37315AE6BA1F680D07A55B781D6141E5936CFB70D92F7BFEB3B88237B66D803C8BDB2ECF4AD5B8BB7900319A089F3D1A73F24536B409AEE3C80ED4DCCC9BB2AE05148164F4397F109616C5A38C7D49E98B073A445B7AFD77616.jpg?appKey=ongslagianqlfog,
数智时代个人信息管理行为研究,,,
美欧贸易战 : 从香蕉到人工智能的漫长博弈,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64FCAA397C10977C0A56FFD972719AA52C99C6A0766CD1C93B001535928E624858E44F519D19C8A96676BA13474F2DB12EDC989B31FE451EE83555B9834913A78068590B95AA20306E0494385B143F44D7486C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64FCAA397C10977C0A56FFD972719AA52C99C6A0766CD1C93B001535928E624858E44F519D19C8A96676BA13474F2DB12EDC989B31FE451EE83555B9834913A78068590B95AA20306E0494385B143F44D7486C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
美欧贸易战 : 从香蕉到人工智能的漫长博弈,,,
数字文明与算法素养,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64FCAA397C10977C0A56FFD972719AA52C944859E9C156605C7C738EFF524FEEA8444F519D19C8A96676BA13474F2DB12EDC989B31FE451EE83555B9834913A78068590B95AA20306E0494385B143F44D7486C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64FCAA397C10977C0A56FFD972719AA52C944859E9C156605C7C738EFF524FEEA8444F519D19C8A96676BA13474F2DB12EDC989B31FE451EE83555B9834913A78068590B95AA20306E0494385B143F44D7486C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
数字文明与算法素养,,,
世界百年变局和全球重塑格局 : 二战结束80周年的思考和展望 : reflections and prospects commemorating the 80th anniversary of the end of world war Ⅱ,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64FCAA397C10977C0A56FFD972719AA52C939F835785A3EA1670B8B1C2B2554776044F519D19C8A96676BA13474F2DB12EDC989B31FE451EE83555B9834913A78068590B95AA20306E0494385B143F44D7486C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
,,https://cover01.chaoxing.com/cover/permc/s/E4887031E6256E58271A8DB714A2A64FCAA397C10977C0A56FFD972719AA52C939F835785A3EA1670B8B1C2B2554776044F519D19C8A96676BA13474F2DB12EDC989B31FE451EE83555B9834913A78068590B95AA20306E0494385B143F44D7486C54CF4D3B0537D4DCC8EC4808362D4.jpg?appKey=ongslagianqlfog,
世界百年变局和全球重塑格局 : 二战结束80周年的思考和展望 : reflections and prospects commemorating the 80th anniversary of the end of world war Ⅱ,,,
